市区,新增,现有,累计,治愈,死亡
兰州,-,44,80,34,2
张掖,-,11,13,2,0
嘉峪关,-,5,5,0,0
陇南,-,2,6,4,0
天水,-,1,13,12,0
境外输入,-,0,108,108,0
平凉,-,0,9,9,0
定西,-,0,9,9,0
甘南州,-,0,8,8,0
白银,-,0,4,4,0
临夏州,-,0,3,3,0
庆阳,-,0,3,3,0
金昌,-,0,1,1,0
外来人员,-,0,1,1,0
武威,-,0,0,0,0
酒泉,-,0,0,0,0
