市区,新增,现有,累计,治愈,死亡
阿拉善盟,18,115,115,0,0
锡林郭勒盟,1,17,26,9,0
境外输入,1,4,316,312,0
呼和浩特,0,3,10,7,0
鄂尔多斯,0,1,12,11,0
呼伦贝尔,0,0,38,38,0
包头,0,0,11,11,0
赤峰,0,0,9,9,0
巴彦淖尔,0,0,8,7,1
通辽,0,0,7,7,0
乌兰察布,0,0,3,3,0
乌海,0,0,2,2,0
兴安盟,0,0,1,1,0
