市区,新增,现有,累计,治愈,死亡
境外输入,2,91,1164,1073,0
德宏州,1,3,228,225,0
昆明,0,0,53,53,0
昭通,0,0,25,25,0
西双版纳傣族自治州,0,0,15,14,1
玉溪,0,0,14,13,1
大理州,0,0,13,13,0
曲靖,0,0,13,13,0
红河州,0,0,9,9,0
保山,0,0,9,9,0
丽江,0,0,7,7,0
普洱,0,0,4,4,0
楚雄州,0,0,4,4,0
文山,0,0,2,2,0
临沧,0,0,1,1,0
怒江州,0,0,0,0,0
