市区,新增,现有,累计,治愈,死亡
境外输入,0,18,118,100,0
商丘,0,16,107,88,3
开封,0,7,33,26,0
郑州,0,5,295,285,5
驻马店,0,4,143,139,0
安阳,0,1,54,53,0
许昌,0,1,40,38,1
信阳,0,0,274,272,2
南阳,0,0,156,153,3
周口,0,0,76,75,1
平顶山,0,0,58,57,1
新乡,0,0,57,54,3
漯河,0,0,36,36,0
焦作,0,0,32,31,1
洛阳,0,0,31,30,1
鹤壁,0,0,19,19,0
濮阳,0,0,17,17,0
三门峡,0,0,7,6,1
济源,0,0,5,5,0
待确认,0,0,-,29,-
