市区,新增,现有,累计,治愈,死亡
银川,2,14,49,35,0
吴忠,0,11,39,28,0
中卫,0,1,4,3,0
固原,0,0,5,5,0
境外输入,0,0,4,4,0
宁东管委会,0,0,1,1,0
石嘴山,0,0,1,1,0
