市区,新增,现有,累计,治愈,死亡
境外输入,-,3,148,145,0
扬州,-,0,593,593,0
南京,-,0,329,329,0
苏州,-,0,87,87,0
徐州,-,0,79,79,0
淮安,-,0,78,78,0
无锡,-,0,55,55,0
常州,-,0,51,51,0
连云港,-,0,48,48,0
南通,-,0,40,40,0
泰州,-,0,37,37,0
盐城,-,0,27,27,0
宿迁,-,0,16,16,0
镇江,-,0,12,12,0
