市区,新增,现有,累计,治愈,死亡
境外输入,3,33,81,48,0
南宁,0,0,56,56,0
北海,0,0,44,43,1
桂林,0,0,32,32,0
河池,0,0,28,27,1
柳州,0,0,24,24,0
防城港,0,0,19,19,0
玉林,0,0,11,11,0
来宾,0,0,11,11,0
钦州,0,0,8,8,0
贵港,0,0,8,8,0
梧州,0,0,5,5,0
贺州,0,0,4,4,0
百色,0,0,3,3,0
