市区,新增,现有,累计,治愈,死亡
境外输入,0,8,136,128,0
大连,0,0,162,162,0
沈阳,0,0,78,78,0
锦州,0,0,12,12,0
葫芦岛,0,0,12,11,1
营口,0,0,11,11,0
丹东,0,0,11,11,0
盘锦,0,0,11,11,0
铁岭,0,0,8,8,0
阜新,0,0,8,8,0
朝阳,0,0,6,5,1
鞍山,0,0,4,4,0
辽阳,0,0,3,3,0
本溪,0,0,3,3,0
抚顺,0,0,1,1,0
