市区,新增,现有,累计,治愈,死亡
境外输入,0,24,179,155,0
日照,0,6,22,16,0
济宁,0,0,260,260,0
青岛,0,0,80,79,1
烟台,0,0,58,58,0
临沂,0,0,49,49,0
济南,0,0,47,47,0
潍坊,0,0,44,44,0
聊城,0,0,38,38,0
威海,0,0,38,37,1
德州,0,0,37,35,2
泰安,0,0,35,33,2
淄博,0,0,30,29,1
枣庄,0,0,24,24,0
菏泽,0,0,18,18,0
滨州,0,0,15,15,0
