市区,新增,现有,累计,治愈,死亡
境外输入,4,36,1654,1618,0
中山,0,1,68,67,0
广州,0,0,523,522,1
深圳,0,0,431,428,3
东莞,0,0,102,101,1
佛山,0,0,101,101,0
珠海,0,0,98,97,1
惠州,0,0,62,62,0
汕头,0,0,25,25,0
湛江,0,0,23,23,0
江门,0,0,23,23,0
肇庆,0,0,19,18,1
梅州,0,0,16,16,0
茂名,0,0,14,14,0
阳江,0,0,14,14,0
清远,0,0,12,12,0
揭阳,0,0,10,10,0
韶关,0,0,10,9,1
汕尾,0,0,6,6,0
河源,0,0,5,5,0
潮州,0,0,5,5,0
待确认,0,0,-,2,-
