市区,新增,现有,累计,治愈,死亡
三亚,-,0,55,54,1
海口,-,0,41,41,0
境外输入,-,0,19,19,0
儋州,-,0,15,14,1
万宁,-,0,13,13,0
澄迈,-,0,9,8,1
昌江黎族自治县,-,0,7,7,0
临高,-,0,6,6,0
琼海,-,0,6,5,1
陵水黎族自治县,-,0,4,4,0
文昌,-,0,3,3,0
保亭黎族苗族自治县,-,0,3,3,0
东方,-,0,3,2,1
定安,-,0,3,2,1
乐东黎族自治县,-,0,2,2,0
琼中黎族苗族自治县,-,0,1,1,0
屯昌,-,0,0,0,0
三沙,-,0,0,0,0
