市区,新增,现有,累计,治愈,死亡
境外输入,-,20,534,514,0
厦门,-,1,275,274,0
莆田,-,0,261,261,0
福州,-,0,72,71,1
泉州,-,0,71,71,0
宁德,-,0,26,26,0
漳州,-,0,23,23,0
南平,-,0,20,20,0
三明,-,0,14,14,0
龙岩,-,0,6,6,0
