市区,新增,现有,累计,治愈,死亡
境外输入,1,-,295,249,-
丰台区,0,-,277,233,-
大兴区,0,-,134,111,-
海淀区,0,-,84,18,-
朝阳区,0,-,81,5,-
西城区,0,-,59,6,-
昌平区,2,-,55,14,-
顺义区,0,-,45,45,-
房山区,0,-,25,7,-
外地来京人员,0,-,25,2,-
通州区,0,-,20,2,-
东城区,0,-,19,6,-
石景山区,0,-,15,12,-
怀柔区,0,-,8,4,-
密云区,0,-,7,0,-
门头沟区,0,-,5,4,-
延庆区,0,-,1,0,-
待确认,0,-,2,395,9
