市区,新增,现有,累计,治愈,死亡
境外输入,-,8,78,70,0
天门,-,2,498,481,15
武汉,-,0,50380,46511,3869
孝感,-,0,3518,3389,129
黄冈,-,0,2912,2787,125
荆州,-,0,1582,1530,52
鄂州,-,0,1395,1336,59
随州,-,0,1307,1262,45
襄阳,-,0,1175,1135,40
黄石,-,0,1015,976,39
荆门,-,0,971,930,41
宜昌,-,0,931,894,37
咸宁,-,0,836,821,15
十堰,-,0,672,664,8
仙桃,-,0,575,553,22
恩施,-,0,252,245,7
潜江,-,0,198,189,9
神农架林区,-,0,11,11,0
