市区,新增,现有,累计,治愈,死亡
境外输入,0,0,122,122,0
晋中,0,0,41,41,0
太原,0,0,21,21,0
运城,0,0,19,19,0
大同,0,0,12,12,0
晋城,0,0,10,10,0
朔州,0,0,8,8,0
长治,0,0,8,8,0
忻州,0,0,7,7,0
吕梁,0,0,6,6,0
阳泉,0,0,4,4,0
临汾,0,0,2,2,0
