市区,新增,现有,累计,治愈,死亡
境外输入,3,51,2331,2280,0
外地来沪人员,0,0,113,112,1
浦东新区,0,0,77,76,1
宝山区,0,0,26,25,1
黄浦区,0,0,22,22,0
闵行区,0,0,19,19,0
徐汇区,0,0,18,17,1
松江区,0,0,16,16,0
