市区,新增,现有,累计,治愈,死亡
境外输入,-,33,254,221,0
温州,-,0,504,503,1
杭州,-,0,181,181,0
宁波,-,0,157,157,0
台州,-,0,147,147,0
金华,-,0,55,55,0
嘉兴,-,0,46,46,0
绍兴,-,0,42,42,0
省十里丰监狱,-,0,36,36,0
丽水,-,0,17,17,0
衢州,-,0,14,14,0
湖州,-,0,10,10,0
舟山,-,0,10,10,0
